,area,id,region,title,lat,lot,full_adress,population_2010,man_2010,female_2010
130,Улуг-Хемский район,1157196,Тыва ,Чодураа,"51,3752608","92,884032","Чодураа, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
131,Дзун-Хемчикский район,1157082,Тыва ,Чыраа-Бажы,"51,1684485","91,0529139","Чыраа-Бажы, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1515,740,775
132,Дзун-Хемчикский район,1157083,Тыва ,Чыргакы,"51,0626072","91,0065595","Чыргакы, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",794,406,388
133,Улуг-Хемский район,3731,Тыва ,Шагонар,"51,538721","92,9194074","Шагонар, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",10956,5421,5535
134,Кызылский район,1157117,Тыва ,Шамбалыг,"51,2406402","95,0914385","Шамбалыг, Кызылский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",510,262,248
135,Чаа-Хольский район,1157204,Тыва ,Шанчы,"51,6060807","91,9618584","Шанчы, Чаа-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",303,157,146
136,Барун-Хемчикский район,1157070,Тыва ,Шекпээр,"51,1683632","90,6817543","Шекпээр, Барун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1272,631,641
137,Дзун-Хемчикский район,1157084,Тыва ,Шеми,"51,1566992","91,2914366","Шеми, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1111,539,572
138,Пий-Хемский район,1157146,Тыва ,Шивилиг,"50,8178244","91,9582923","Шивилиг, Солчурский сумон, Овюрский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
139,Бай-Тайгинский район,1157059,Тыва ,Шуй,"51,4017149","93,8582593","Республика Тыва, Сибирский федеральный округ, Россия",1832,908,924
140,Тес-Хемский район,1157179,Тыва ,Шуурмак,"50,6532098","95,3271335","Шуурмак, Тес-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",753,370,383
141,Тоджинский район,1157187,Тыва ,Ырбан,"52,7137562","95,7278747","Ырбан, Тоджинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",325,172,153
142,Улуг-Хемский район,1157198,Тыва ,Эйлиг-Хем,"51,6130028","92,6727561","Эйлиг-Хем, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",656,325,331
143,Дзун-Хемчикский район,1157085,Тыва ,Элдиг-Хем,"50,4300374","90,7441306","Эльдиг-Хем, Овюрский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",227,118,109
144,Чеди-Хольский район,1157211,Тыва ,Элегест,"51,4907177","94,1652369","Элегест, Кочетовский сумон, Тандинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1431,718,713
145,Бай-Тайгинский район,1157060,Тыва ,Энге-Белдир,"51,3511","90,453",,,,
146,Барун-Хемчикский район,1157071,Тыва ,Эрги-Барлык,"50,9360174","90,4048361","Эрги-Барлык, Барун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1618,786,832
147,Каа-Хемский район,1157103,Тыва ,Эржей,"51,3368742","95,9342139","Эржей, Сизимский сумон, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
148,Эрзинский район,1157217,Тыва ,Эрзин,"50,3260255","95,510931","Эрзин, Моренский сумон, Эрзинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",3191,1481,1710
149,Бай-Тайгинский район,1157061,Тыва ,Ээр-Хавак,"51,0109326","90,2606267","Ээр-Хавак, Ээр-Хавакский сумон, Бай-Тайгинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",743,355,388
150,Кызылский район,1157118,Тыва ,Ээрбек,"51,6508488","94,2090227","Ээрбек, Кызылский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1168,557,611
